"seed","ari","nmi","n_vertices","n_communities"
167,0.0138327186213299,0.0382949048974261,153,13
168,0.0264973971876591,0.0442169596861982,160,13
169,0.0158884052475386,0.0370710021890941,154,13
170,0.0338510757621741,0.0419140091021579,153,15
171,0.0281480804200114,0.0414311610653559,165,12
172,0.0253869163237018,0.032152971057981,152,13
173,0.0198932414350117,0.0325962894192433,152,16
174,0.0118878649447513,0.0286954976831859,148,14
175,0.0289735104218143,0.0495814501659675,151,13
176,0.0270315486214959,0.0520685635214798,155,14
177,0.0255127151675623,0.0347648541618152,160,14
178,0.0281861364521837,0.0477365228761989,161,13
179,0.0263750171615036,0.0349141299865074,151,13
180,0.00357220705628366,0.0247667257625352,157,14
181,0.0525963320928812,0.0613702021946078,165,13
182,0.0224266908205876,0.0480373677800243,166,13
183,0.0181572539484698,0.0491958863789814,161,13
184,0.0261601895810441,0.0395720868677781,154,14
185,0.040611528394031,0.0534778078245079,159,13
186,0.0455018898193268,0.054676229817569,163,14
187,0.0224967302392111,0.0404898735122174,157,14
188,0.0188040717727799,0.0419327044534086,153,14
189,0.0139684723707703,0.033587851543568,149,13
190,0.0245459658982055,0.0375968845684075,152,13
191,0.0141135081083611,0.0378247871992675,161,14
192,0.0283802012408148,0.0486092051893188,163,13
193,0.040512608177595,0.0483526814636279,149,14
194,0.0280138542362449,0.0414146300727209,156,14
195,0.0215501808399304,0.0440965174263629,149,13
196,0.0267786209277075,0.0423582951760162,161,13
197,0.0350718842908425,0.0451310820592388,154,14
198,0.0252388902081806,0.0346206918919439,147,12
199,0.0569164794816411,0.0669966548801826,151,15
200,0.026325513433639,0.0400058607206186,156,13
201,0.0227918687370603,0.0537827416047401,158,15
202,0.0352439625667117,0.0426838401594642,150,13
203,0.0201336952368392,0.0297218616179797,157,13
204,0.0133974659143962,0.0222710763837446,151,12
205,0.0272671156927129,0.0391385051045105,156,12
206,0.0281935642560034,0.0517281112340443,158,12
207,0.0071870026547247,0.0226814138960727,154,15
208,0.0424192899434894,0.0482944263161902,147,13
209,0.0303230702471981,0.0382103316197579,154,13
210,0.0113072406611716,0.0302013769971132,150,12
211,0.020494784943035,0.0404249954702568,160,13
212,0.028207977037804,0.0473427367081854,158,14
213,0.0237133917300962,0.0322322870534125,159,14
214,0.0223240292964973,0.035749391041319,153,12
215,0.038283457313484,0.04482949484491,153,14
216,0.0231137861573596,0.0393942647951938,155,13
217,0.0304040690825389,0.0427192687908907,164,13
218,0.020493782996824,0.0417156985097836,160,13
219,0.0245912519346493,0.0335561135467392,160,13
220,0.0271592971042069,0.0415851471732589,154,14
221,0.01659824869138,0.0294388023447845,152,13
222,0.041125786940293,0.0494461464591252,157,12
223,0.0498015227963551,0.0607219112931128,144,12
224,0.0239880185768782,0.0430230667810628,162,15
225,0.0240244381874387,0.0500967986205005,154,14
226,0.041504387513366,0.0577384228173499,158,16
227,0.0365861913392675,0.0505293976675307,155,14
228,0.0279188253083449,0.0439096415548988,159,14
229,0.0207396721675692,0.028072219373593,167,12
230,0.0194825352118859,0.0395145402349815,159,14
231,0.0225619744152889,0.0418483104026559,159,13
232,0.0141061742099327,0.0345407426173169,158,14
233,0.0294982374748671,0.0436871181226401,156,14
234,0.0225285936690385,0.0335893365871675,156,14
235,0.0167880835728303,0.0461221097667836,167,12
236,0.0285286800639206,0.0400426997099476,168,12
237,0.0332446017026691,0.0409146773994921,154,12
238,0.0153431445752692,0.0370012897613307,157,14
239,0.0186272609309669,0.0397382726853921,153,13
240,0.028719269618449,0.0385434768728454,156,15
241,0.0126582591625145,0.0279021973403065,155,13
242,0.0312099180000089,0.0450196858419948,155,13
243,0.0207103917091943,0.036671109135592,146,14
244,0.0312836163434978,0.0546685033562689,154,14
245,0.0193477944916743,0.0376579905544766,162,12
246,0.0263541495314867,0.0454290492654518,158,13
247,0.0340015971166153,0.0442399343657554,145,13
248,0.0161943980945742,0.0438180162715443,161,14
249,0.0350029113242379,0.0456158030725948,157,12
250,0.0418911716360749,0.0531504806107633,153,13
251,0.0369815059804022,0.0624687564094746,139,13
252,0.0347270778277492,0.0507061076288486,159,15
253,0.0329919556458729,0.0422638359975422,155,12
254,0.0375647601344901,0.0478852624510006,162,14
255,0.0268599806326134,0.0438640597256428,147,12
256,0.0400718086927394,0.0622491838917604,164,13
257,0.0136878592475983,0.0253631600104393,152,12
258,0.0283302436712079,0.0553528736733068,155,12
259,0.0412757907321091,0.066896180029407,158,13
260,0.0297769892716467,0.0450462637336419,159,15
261,0.0224763697963299,0.0481649609300473,155,14
262,0.0188178743139311,0.0397470125712432,150,14
263,0.0144328647830602,0.0209686057874112,157,13
264,0.0119864512693749,0.030361435289838,160,15
265,0.0232472107871152,0.038587202832802,161,13
266,0.0193994587058715,0.037952489328337,148,12
267,0.0229519155707878,0.0502032133485297,157,13
268,0.00836679858600643,0.0343501061214057,163,15
269,0.0157904330157973,0.0275229255472191,150,12
270,0.0290634957215757,0.0532780277471544,157,13
271,0.0199149964944242,0.0322933913325887,156,14
272,0.0301594001359596,0.0431069793567024,150,12
273,0.0248968107956494,0.0417155805995863,156,13
274,0.0237462142384759,0.033055120159662,154,13
275,0.0280296086483054,0.0392489019847263,150,16
276,0.029892968219262,0.0362247639072456,159,12
277,0.0306297339316175,0.0432044021362877,155,12
278,0.017871903171295,0.0313890413840853,154,14
279,0.0613232825276358,0.0765412461756675,149,14
280,0.0227438004490224,0.0455386084566464,163,13
281,0.0160189141593758,0.02675806182634,157,13
282,0.0244965311366672,0.0434661954292082,158,13
283,0.0325366894651762,0.0407123601658095,157,14
284,0.0180277219373691,0.0359864554269865,159,12
285,0.0307520494760739,0.0431991190729909,160,14
286,0.018721752352572,0.0479824265141896,150,14
287,0.0142264421221243,0.039056773658536,155,15
288,0.027154690002709,0.0333470601591269,156,13
289,0.0236966220944297,0.0397116002079521,157,13
290,0.0172640155010017,0.0420973470555299,158,15
291,0.0197034673357679,0.0330886244865394,164,13
292,0.0162155893857056,0.0337077569944989,150,15
293,0.0271894929872488,0.049931166951655,153,15
294,0.0332075565718951,0.0534170409394335,153,14
295,0.0168145089278367,0.0297603011583915,149,15
296,0.0113811241949214,0.0251497974312538,161,13
297,0.0339839138522945,0.045083261667346,156,14
298,0.0146107709015035,0.0350888755018938,155,13
299,0.022335353908486,0.0329464070102824,146,14
300,0.038730713054889,0.0509868919174795,150,13
301,0.0242706509265901,0.0363102337474339,153,13
302,0.00734668645006057,0.0154254180717767,164,12
