"tract","density_q","distance_to_centroid"
"25009252300","Q3",4.46265304755872
"25009252400","Q4_high",7.16940258524914
"25009252501","Q3",3.61952688505143
"25009252502","Q3",4.89451230214173
"25009252601","Q2",4.15261220951373
"25009252602","Q2",6.81883018983698
"25009252603","Q1_low",6.08503910137531
"25009253100","Q3",4.5186732266921
"25009253201","Q3",6.51478668879436
"25009253202","Q3",6.33875871096151
"25009253203","Q2",5.40799094109589
"25009253204","Q2",6.77632291823759
"25009253205","Q1_low",7.47552313808461
"25009254100","Q3",6.0539281480556
"25009254200","Q4_high",5.07107834966927
"25009254301","Q3",8.81214741406488
"25009254302","Q1_low",5.44757223674497
"25009254401","Q2",5.34613672629437
"25009254402","Q3",9.8738023791978
"25009254403","Q2",5.22482936398429
"25009260100","Q4_high",4.65751259730703
"25009260200","Q4_high",5.83066679259657
"25009260301","Q2",5.48300947178589
"25009260302","Q1_low",5.43257321149049
"25009260401","Q2",6.69661951169912
"25009260402","Q1_low",7.18923356855916
"25009260500","Q2",5.44988788214413
"25009260600","Q2",5.6359738906453
"25009260700","Q2",4.22138126138421
"25009260800","Q3",6.90894067389886
"25009260900","Q3",5.02985287255293
"25009261000","Q3",5.60411297095176
"25009261101","Q1_low",5.13835058756235
"25009261102","Q3",6.56771722227697
"25009262100","Q1_low",3.92060397093153
"25009263100","Q1_low",4.65128004558568
"25009264100","Q1_low",3.75968896162028
"25009265101","Q1_low",4.46246424905844
"25009265102","Q2",7.43273189710011
"25009266100","Q1_low",5.38555428944271
"25009266200","Q1_low",4.3665964538245
"25009266300","Q2",4.35212373813657
"25009266400","Q2",6.76497588884723
"25009267102","Q1_low",5.14419243688077
"25009267103","Q1_low",5.92990687296832
"25009267104","Q1_low",5.77982804024511
"25009268100","Q1_low",8.28572317469416
"25009268200","Q3",6.40833585249331
"25009268300","Q4_high",4.98358709571548
"25009268400","Q2",4.45848862498341
"25009269100","Q1_low",4.51367624974362
"25009270100","Q1_low",4.64035859727941
"25011040100","Q1_low",6.48527745561996
"25011040200","Q1_low",7.66844522119321
"25011040300","Q1_low",6.31751964814428
"25011040400","Q1_low",6.82677300879473
"25011040501","Q1_low",4.92958959431015
"25011040502","Q1_low",4.96735618765069
